,id,retweet_count,favorite_count
94,880935762899988482,2840,17163
95,880872448815771648,3912,21498
96,880465832366813184,6416,28782
97,880221127280381952,4339,27339
98,880095782870896641,4450,27869
99,879862464715927552,3575,22474
100,879674319642796034,10,314
101,879492040517615616,3257,23605
102,879415818425184262,45139,106884
103,879376492567855104,3180,16912
104,879130579576475649,7026,0
105,879050749262655488,4832,22800
106,879008229531029506,2748,19127
107,878776093423087618,4225,19552
108,878604707211726852,7418,30562
109,878404777348136964,1325,0
110,878316110768087041,6833,0
111,878281511006478336,1325,7835
112,878057613040115712,7026,42435
113,877736472329191424,19674,80808
114,877611172832227328,82,0
115,877556246731214848,3916,23020
116,877316821321428993,5317,27624
117,877201837425926144,5739,27405
118,876838120628539392,3450,20888
119,876537666061221889,4718,23633
120,876484053909872640,2468,18954
121,876120275196170240,4810,28172
122,875747767867523072,4409,25467
123,875144289856114688,5050,22150
124,875097192612077568,6214,27682
125,875021211251597312,4823,25753
126,874680097055178752,4766,28166
127,874434818259525634,15213,0
128,874296783580663808,4233,26350
129,874057562936811520,4060,22899
130,874012996292530176,10771,35089
131,873580283840344065,4052,24538
132,873337748698140672,1635,0
133,873213775632977920,1635,7370
134,872967104147763200,5569,27726
135,872820683541237760,3812,14889
136,872668790621863937,30,0
137,872620804844003328,3830,21071
138,872486979161796608,9259,41138
139,872261713294495745,6535,34717
140,872122724285648897,8382,34917
141,871879754684805121,11631,38649
142,871762521631449091,3593,20553
143,871515927908634625,3567,20520
144,871166179821445120,5886,0
145,871102520638267392,5667,21237
146,871032628920680449,3931,23008
147,870804317367881728,6447,34190
148,870726314365509632,3,120
149,870656317836468226,2759,12668
150,870374049280663552,27183,84081
151,870308999962521604,4302,22202
152,870063196459192321,8661,37327
153,869772420881756160,10454,43189
154,869702957897576449,6576,28767
155,869596645499047938,3258,16291
156,869227993411051520,3948,20861
157,868880397819494401,15076,66901
158,868639477480148993,2188,0
159,868622495443632128,6166,27967
160,868552278524837888,2188,10407
161,867900495410671616,4364,24704
162,867774946302451713,7647,34774
163,867421006826221569,2640,16554
164,867072653475098625,132,0
165,867051520902168576,8263,33032
166,866720684873056260,5071,20625
167,866686824827068416,3656,19845
168,866450705531457537,36816,124505
169,866334964761202691,15213,54015
170,866094527597207552,8780,0
171,865718153858494464,5887,26314
172,865359393868664832,5258,27212
173,865006731092295680,8073,28766
174,864873206498414592,9196,33267
175,864279568663928832,3217,15024
176,864197398364647424,9431,31076
177,863907417377173506,4359,21231
178,863553081350529029,4395,15742
179,863471782782697472,2623,0
180,863432100342583297,5564,24527
181,863427515083354112,104,2330
182,863079547188785154,1163,9017
183,863062471531167744,2623,8828
